model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,stanford_cars,0,0.8431872962974012,0.004423999693244696,0.1612367033958435,384
DINOv2-S,stanford_cars,1,0.837937620934099,0.004538682755082846,0.1666010618209839,384
DINOv2-S,stanford_cars,2,0.8719077100977302,0.004476009868085384,0.13256829977035522,384
DINOv2-S,stanford_cars,3,0.8517602630890906,0.004285077098757029,0.15252481400966644,384
DINOv2-S,stanford_cars,4,0.8620053208433092,0.004042176064103842,0.14203685522079468,384
DINOv2-S,stanford_cars,5,0.8697988733183593,0.0038582130800932646,0.134059339761734,384
DINOv2-S,stanford_cars,6,0.8611110495403409,0.0037225233390927315,0.14261147379875183,384
DINOv2-S,stanford_cars,7,0.8307035802863538,0.003710323479026556,0.17300674319267273,384
DINOv2-S,stanford_cars,8,0.8738869158551097,0.0036881742998957634,0.12980125844478607,384
DINOv2-S,stanford_cars,9,0.8460686835460365,0.003651935141533613,0.15758325159549713,384
DINOv2-S,stanford_cars,10,0.8004793324507773,0.0034657814539968967,0.2029864490032196,384
DINOv2-S,stanford_cars,11,0.7820342881605029,0.003238196484744549,0.22120390832424164,384
