model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,stanford-dogs,0,0.9231408485211432,0.005536640528589487,0.08239579200744629,768
MAE-B16,stanford-dogs,1,0.9237828063778579,0.005465436261147261,0.08168262988328934,768
MAE-B16,stanford-dogs,2,0.9175772038288414,0.005426239687949419,0.08784903585910797,768
MAE-B16,stanford-dogs,3,0.9117943732999265,0.005386063363403082,0.09359169006347656,768
MAE-B16,stanford-dogs,4,0.9007779681123793,0.005341062787920237,0.10456309467554092,768
MAE-B16,stanford-dogs,5,0.8903355486690998,0.005300361663103104,0.1149648129940033,768
MAE-B16,stanford-dogs,6,0.8759190770797431,0.005234080832451582,0.12931500375270844,768
MAE-B16,stanford-dogs,7,0.8575449264608324,0.00514742499217391,0.14760249853134155,768
MAE-B16,stanford-dogs,8,0.8322860132902861,0.004932669922709465,0.1726466566324234,768
MAE-B16,stanford-dogs,9,0.8067054036073387,0.004816296976059675,0.198110893368721,768
MAE-B16,stanford-dogs,10,0.7855457970872521,0.0047207185998559,0.21917492151260376,768
MAE-B16,stanford-dogs,11,0.7705046804621816,0.004617792554199696,0.23411311209201813,768
