model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
ViT-IN21k-B16,mini-imagenet,0,0.9249509451910853,0.00848462712019682,0.08353368192911148,768
ViT-IN21k-B16,mini-imagenet,1,0.899091737344861,0.00812515802681446,0.10903342068195343,768
ViT-IN21k-B16,mini-imagenet,2,0.8709916109219193,0.007838153280317783,0.13684654235839844,768
ViT-IN21k-B16,mini-imagenet,3,0.8391547352075577,0.0076109617948532104,0.16845622658729553,768
ViT-IN21k-B16,mini-imagenet,4,0.8086307854391634,0.007304704282432795,0.19867391884326935,768
ViT-IN21k-B16,mini-imagenet,5,0.7780972332693636,0.006999304983764887,0.22890207171440125,768
ViT-IN21k-B16,mini-imagenet,6,0.7490410753525794,0.006705278996378183,0.25766420364379883,768
ViT-IN21k-B16,mini-imagenet,7,0.7117325183935463,0.006335389334708452,0.2946028709411621,768
ViT-IN21k-B16,mini-imagenet,8,0.6760101313702762,0.00594359589740634,0.3299334645271301,768
ViT-IN21k-B16,mini-imagenet,9,0.6297173909842968,0.005452524870634079,0.3757351338863373,768
ViT-IN21k-B16,mini-imagenet,10,0.4814235516823828,0.0039220997132360935,0.5224985480308533,768
ViT-IN21k-B16,mini-imagenet,11,0.7270770950708538,0.002407012740150094,0.27532991766929626,768
