model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,dtd,0,0.8222918839028353,1.2043195056321565e-05,0.17772015929222107,768
CLIP-B32,dtd,1,0.7947559332710625,6.0325724007270765e-06,0.2052500993013382,768
CLIP-B32,dtd,2,0.7572586948153912,4.6158311306498945e-06,0.24274592101573944,768
CLIP-B32,dtd,3,0.7137405870287239,2.6223985969409114e-06,0.28626203536987305,768
CLIP-B32,dtd,4,0.7162909222513463,1.2827783848479157e-06,0.2837103605270386,768
CLIP-B32,dtd,5,0.699304480175897,4.061269009980606e-07,0.30069592595100403,768
CLIP-B32,dtd,6,0.6863052087238231,1.9244460247591633e-07,0.3136949837207794,768
CLIP-B32,dtd,7,0.6451042942281333,6.47779074824939e-08,0.35489577054977417,768
CLIP-B32,dtd,8,0.6075275332729158,9.040051374142877e-09,0.3924724757671356,768
CLIP-B32,dtd,9,0.5811273773376191,1.9733155109946665e-09,0.4188726246356964,768
CLIP-B32,dtd,10,0.596814872257401,1.4230504552514844e-09,0.4031851291656494,768
CLIP-B32,dtd,11,0.6434864741365223,4.152467703022467e-09,0.35651353001594543,768
