model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
CLIP-B32,dtd,0,0.8264343572036523,1.0652579476300161e-05,0.17357629537582397,768
CLIP-B32,dtd,1,0.7960953384504137,5.763755780208157e-06,0.20391042530536652,768
CLIP-B32,dtd,2,0.75724291004326,4.44747593064676e-06,0.2427615374326706,768
CLIP-B32,dtd,3,0.7101803632374413,2.464830458848155e-06,0.2898221015930176,768
CLIP-B32,dtd,4,0.7019569337738858,1.257695089407207e-06,0.2980443239212036,768
CLIP-B32,dtd,5,0.6757579636677633,4.0651406152392155e-07,0.3242424428462982,768
CLIP-B32,dtd,6,0.666267254414592,1.8722060701747978e-07,0.333732932806015,768
CLIP-B32,dtd,7,0.6298799901869216,6.851219325199054e-08,0.3701200783252716,768
CLIP-B32,dtd,8,0.6061294170491465,9.166456038656179e-09,0.39387059211730957,768
CLIP-B32,dtd,9,0.5815765281616601,1.9966515107938676e-09,0.41842347383499146,768
CLIP-B32,dtd,10,0.5997181252584569,1.584064213133729e-09,0.4002818763256073,768
CLIP-B32,dtd,11,0.6447345063983936,4.55970949886364e-09,0.3552654981613159,768
