model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
MAE-B16,dtd,0,0.8694371555575344,5.04089257447049e-07,0.13056334853172302,768
MAE-B16,dtd,1,0.8684750358586264,4.572915557332635e-08,0.13152500987052917,768
MAE-B16,dtd,2,0.8579939445047886,1.3926556796661771e-08,0.1420060694217682,768
MAE-B16,dtd,3,0.8482366270877262,6.661548201947198e-09,0.15176337957382202,768
MAE-B16,dtd,4,0.8325674404678371,1.984598929638537e-09,0.16743256151676178,768
MAE-B16,dtd,5,0.8155399568489983,7.56163742732241e-10,0.18446004390716553,768
MAE-B16,dtd,6,0.8046197149608334,3.431042394641537e-10,0.1953802853822708,768
MAE-B16,dtd,7,0.7835328580303514,1.354539397313559e-10,0.21646714210510254,768
MAE-B16,dtd,8,0.7583021373217141,6.60454607670502e-11,0.24169786274433136,768
MAE-B16,dtd,9,0.7407647967664016,3.254541774966313e-11,0.2592352032661438,768
MAE-B16,dtd,10,0.7259593010114085,1.6535444888332584e-11,0.27404069900512695,768
MAE-B16,dtd,11,0.7425799371095931,1.2839197760516896e-10,0.25742006301879883,768
