model,dataset,layer_idx,loes_score,classification_loss,isotropy,embed_dim
DINOv2-S,caltech-ucsd-birds-200-2011,0,0.8555618855170906,0.004111472051590681,0.14854958653450012,384
DINOv2-S,caltech-ucsd-birds-200-2011,1,0.8652151715941727,0.004267249722033739,0.13905207812786102,384
DINOv2-S,caltech-ucsd-birds-200-2011,2,0.8478203620761633,0.004160678014159203,0.1563403159379959,384
DINOv2-S,caltech-ucsd-birds-200-2011,3,0.8283206643536687,0.0039284201338887215,0.17560775578022003,384
DINOv2-S,caltech-ucsd-birds-200-2011,4,0.7971597348805517,0.00364323309622705,0.20648349821567535,384
DINOv2-S,caltech-ucsd-birds-200-2011,5,0.7789703442249447,0.003409384051337838,0.22443903982639313,384
DINOv2-S,caltech-ucsd-birds-200-2011,6,0.7716222931630909,0.003228359390050173,0.23160606622695923,384
DINOv2-S,caltech-ucsd-birds-200-2011,7,0.7786454113665968,0.0031637551728636026,0.22451834380626678,384
DINOv2-S,caltech-ucsd-birds-200-2011,8,0.7980776082258672,0.003103147028014064,0.2050255388021469,384
DINOv2-S,caltech-ucsd-birds-200-2011,9,0.7800921227317303,0.0030325378756970167,0.22294041514396667,384
DINOv2-S,caltech-ucsd-birds-200-2011,10,0.7232893244363368,0.002751959953457117,0.27946263551712036,384
DINOv2-S,caltech-ucsd-birds-200-2011,11,0.6504232648294419,0.0024243954103440046,0.3520011305809021,384
